symbol,company_name,listed_date
QPH,Công ty Cổ phần Thủy điện Quế Phong,2014-07-11T00:00:00
QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,2009-02-16T00:00:00
QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,2009-01-16T00:00:00
RAT,Công ty Cổ phần Vận tải và Thương mại Đường sắt,2016-08-15T00:00:00
RIC,Công ty Cổ phần Quốc Tế Hoàng Gia,2007-07-31T00:00:00
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,2024-12-12T00:00:00
S12,Công ty Cổ phần Sông Đà 12,2008-01-16T00:00:00
S72,Công ty Cổ phần Sông Đà 7.02,2018-05-22T00:00:00
S99,Công ty Cổ phần SCI,2006-12-22T00:00:00
SAC,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn,2016-11-08T00:00:00
SAL,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam,2017-10-20T00:00:00
SAM,Công ty Cổ phần SAM Holdings,2000-07-28T00:00:00
SAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,2015-04-16T00:00:00
SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,2002-05-09T00:00:00
SBA,Công ty Cổ phần Sông Ba,2010-06-01T00:00:00
SBB,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,2023-12-12T00:00:00
SBV,Công ty Cổ phần Siam Brothers Việt Nam,2017-05-16T00:00:00
SC5,Công ty Cổ phần Xây dựng số 5,2007-10-18T00:00:00
SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,2021-04-12T00:00:00
SCL,Công ty Cổ phần Sông Đà Cao Cường,2010-09-15T00:00:00
SD2,Công ty Cổ phần Sông Đà 2,2007-11-30T00:00:00
SD3,Công ty Cổ phần Sông Đà 3,2006-12-25T00:00:00
SD4,Công ty Cổ phần Sông Đà 4,2008-06-25T00:00:00
SD6,Công ty Cổ phần Sông Đà 6,2006-12-25T00:00:00
SDU,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,2009-09-28T00:00:00
SFI,Công ty Cổ phần Đại lý Vận tải SAFI,2006-12-29T00:00:00
SFN,Công ty Cổ phần Dệt lưới Sài Gòn,2006-11-29T00:00:00
SGD,Công ty Cổ phần Sách Giáo dục tại Thành phố Hồ Chí Minh,2006-12-28T00:00:00
SGH,Công ty Cổ phần Khách sạn Sài Gòn,2001-07-13T00:00:00
SGI,Công ty Cổ phần Đầu tư SGI Holdings,2021-09-14T00:00:00
SGS,Công ty Cổ phần Vận tải biển Sài Gòn,2010-12-22T00:00:00
SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,2009-12-16T00:00:00
SHS,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,2009-06-25T00:00:00
SID,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op,2017-01-09T00:00:00
SJM,Công ty Cổ phần Sunspace Holdings,2008-01-10T00:00:00
SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,2010-10-19T00:00:00
SMT,Công ty Cổ phần SAMETEL,2010-07-30T00:00:00
SPD,Công ty Cổ phần Xuất nhập khẩu Thủy sản Miền Trung,2010-04-22T00:00:00
SRF,Công ty Cổ phần Searefico,2009-10-21T00:00:00
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,2021-03-24T00:00:00
SSF,Công ty Cổ phần Giáo dục G Sài Gòn,2010-04-20T00:00:00
SSH,Công ty Cổ phần Phát triển Sunshine Homes,2021-08-04T00:00:00
SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,2013-10-15T00:00:00
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,2006-07-12T00:00:00
STC,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh,2006-12-27T00:00:00
STG,Công ty Cổ phần Kho Vận Miền Nam,2010-03-02T00:00:00
STL,Công ty Cổ phần Sông Đà - Thăng Long,2008-09-23T00:00:00
STT,Công ty Cổ phần Vận chuyển Sài Gòn Tourist,2011-07-08T00:00:00
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,2006-12-21T00:00:00
SVG,Công ty Cổ phần Hơi kỹ nghệ Que hàn,2016-04-06T00:00:00
SVH,Công ty Cổ phần Thủy điện Sông Vàng,2017-12-28T00:00:00
SWC,Tổng Công ty Cổ phần Đường Sông Miền Nam,2011-04-29T00:00:00
SZG,Công ty Cổ phần Sonadezi Giang Điền,2021-12-27T00:00:00
TAN,Công ty Cổ phần Cà phê Thuận An,2019-06-10T00:00:00
TAR,Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An,2019-02-20T00:00:00
TBC,Công ty Cổ phần Thủy điện Thác Bà,2009-10-19T00:00:00
TBR,Công ty Cổ phần Địa ốc Tân Bình,2022-07-20T00:00:00
TBW,Công ty cổ phần Nước sạch Thái Bình,2024-01-09T00:00:00
TCI,Công ty Cổ phần Chứng khoán Thành Công,2018-09-05T00:00:00
TCJ,Công ty Cổ phần Tô Châu,2017-11-24T00:00:00
TCW,Công ty Cổ phần Kho Vận Tân Cảng,2017-06-26T00:00:00
TD6,Công ty Cổ Phần Than Đèo Nai - Cọc Sáu - TKV,2025-06-16T00:00:00
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,2010-05-04T00:00:00
TDF,Công ty Cổ phần Trung Đô,2020-05-12T00:00:00
TDS,Công ty Cổ phần Thép Thủ Đức - VNSTEEL,2011-10-06T00:00:00
TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,2018-07-18T00:00:00
TDW,Công ty Cổ phần Cấp nước Thủ Đức,2010-11-11T00:00:00
TET,Công ty Cổ phần Vải sợi May mặc Miền Bắc,2010-04-28T00:00:00
TFC,Công ty Cổ phần Trang,2015-12-03T00:00:00
TGG,Công ty Cổ phần The Golden Group,2018-05-25T00:00:00
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,2009-11-11T00:00:00
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,2011-07-28T00:00:00
THN,Công ty Cổ phần Cấp nước Thanh Hóa,2017-10-05T00:00:00
THP,Công ty Cổ phần Thủy sản và Thương mại Thuận Phước,2019-11-18T00:00:00
THT,Công ty Cổ phần Than Hà Tu - Vinacomin,2008-10-24T00:00:00
THW,Công ty Cổ phần Cấp nước Tân Hòa,2016-03-01T00:00:00
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,2007-12-17T00:00:00
TL4,Tổng Công ty Xây dựng Thủy lợi 4 - Công ty Cổ phần,2015-02-04T00:00:00
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,2017-12-08T00:00:00
TMB,Công ty Cổ phần Kinh doanh Than Miền Bắc - Vinacomin,2017-01-16T00:00:00
TMT,Công ty Cổ phần Ô tô TMT,2010-01-22T00:00:00
TNB,Công ty Cổ phần Thép Nhà Bè - VNSTEEL,2010-04-16T00:00:00
TNC,Công ty Cổ phần Cao su Thống Nhất,2007-08-22T00:00:00
TNP,Công ty Cổ phần Cảng Thị Nại,2016-12-23T00:00:00
TNS,Công ty Cổ phần Thép tấm lá Thống Nhất,2017-01-06T00:00:00
TNT,Công ty Cổ phần Tập đoàn TNT,2010-05-21T00:00:00
TNV,Công ty Cổ phần Thống Nhất Hà Nội,2024-11-08T00:00:00
TNW,Công ty Cổ phần Nước sạch Thái Nguyên,2017-05-26T00:00:00
TOP,Công ty Cổ phần Phân phối Top One,2015-07-23T00:00:00
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,2018-04-19T00:00:00
TPP,Công ty Cổ phần Tân Phú Việt Nam,2008-09-26T00:00:00
TQN,Công ty Cổ phần Thông Quảng Ninh,2017-02-08T00:00:00
TRC,Công ty Cổ phần Cao su Tây Ninh,2007-07-24T00:00:00
TRS,Công ty Cổ phần Vận tải và Dịch vụ Hàng Hải,2015-09-18T00:00:00
TRV,Công ty Cổ Phần Vận tải Đường sắt,2025-06-19T00:00:00
TS3,Công ty Cổ phần Trường Sơn 532,2018-01-19T00:00:00
TSG,Công ty Cổ phần Thông tin Tín hiệu Đường sắt Sài Gòn,2017-04-18T00:00:00
TST,Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông,2007-12-13T00:00:00
TT6,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,2024-08-02T00:00:00
TTC,Công ty Cổ phần Gạch men Thanh Thanh,2006-08-08T00:00:00
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,2008-02-18T00:00:00
TTN,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,2017-04-19T00:00:00
TTZ,Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung,2013-01-29T00:00:00
TV1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,2010-09-23T00:00:00
TVG,Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Giao thông Vận tải,2010-01-25T00:00:00
TVH,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,2019-01-17T00:00:00
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,2016-01-18T00:00:00
TXM,Công ty Cổ phần VICEM Thạch cao Xi Măng,2006-12-11T00:00:00
UDC,Công ty Cổ phần Đầu tư Xây dựng UDCons,2010-07-05T00:00:00
UEM,Công ty Cổ phần Cơ điện Uông Bí - Vinacomin,2015-09-24T00:00:00
UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,2007-11-12T00:00:00
UNI,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,2006-05-30T00:00:00
UPH,Công ty Cổ phần Dược phẩm TW25,2016-12-29T00:00:00
VBB,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín,2019-07-30T00:00:00
VBG,Công ty Cổ phần Địa chất Việt Bắc - TKV,2017-03-24T00:00:00
VBT,Công ty Cổ phần Vận tải Bảo Thắng,2026-05-04T00:00:00
VC6,Công ty cổ phần Xây dựng và Đầu tư Visicons,2008-01-28T00:00:00
VCA,Công ty Cổ phần Thép VICASA,2011-02-21T00:00:00
VCC,Công ty Cổ phần Vinaconex 25,2009-02-05T00:00:00
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,2008-09-05T00:00:00
VCI,Công ty Cổ phần Chứng khoán Vietcap,2017-07-07T00:00:00
VCK,Công ty Cổ phần Chứng Khoán VPS,2025-12-16T00:00:00
VCM,Công ty Cổ phần BV Life,2010-05-11T00:00:00
VCP,Công ty Cổ phần Xây dựng và Năng lượng VCP,2016-12-16T00:00:00
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,2010-05-25T00:00:00
VE8,Công ty Cổ phần Xây dựng Điện Vneco 8,2012-08-27T00:00:00
VE9,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9,2008-01-23T00:00:00
VEF,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,2015-12-22T00:00:00
VES,Công ty Cổ phần Tập đoàn VinaLiving,2010-04-14T00:00:00
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,2017-12-13T00:00:00
VFC,Công ty Cổ phần VINAFCO,2006-06-26T00:00:00
VFG,Công ty Cổ phần Khử trùng Việt Nam,2009-12-17T00:00:00
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,2017-07-17T00:00:00
VHC,Công ty Cổ phần Vĩnh Hoàn,2007-12-24T00:00:00
VHL,Công ty Cổ phần Viglacera Hạ Long,2009-02-12T00:00:00
VHM,Công ty Cổ phần Vinhomes,2018-05-17T00:00:00
VIE,Công ty Cổ phần Công nghệ Viễn thông VI TE CO,2011-05-06T00:00:00
VIF,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,2017-01-12T00:00:00
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,2009-12-01T00:00:00
VIN,Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam,2014-09-04T00:00:00
VJC,Công ty Cổ phần Hàng không Vietjet,2017-02-28T00:00:00
VKC,Công ty Cổ phần VKC Holdings,2010-12-08T00:00:00
VKP,Công ty Cổ phần Nhựa Tân Hóa,2008-03-31T00:00:00
VLB,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,2016-09-22T00:00:00
VLC,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,2015-10-26T00:00:00
VLS,Công ty Cổ phần Sản xuất Thép Việt Long,2025-12-15T00:00:00
VMA,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin,2015-08-28T00:00:00
VMD,Công ty Cổ phần Y Dược phẩm Vimedimex,2010-09-30T00:00:00
VMG,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,2017-10-11T00:00:00
VNG,Công ty Cổ phần Du Lịch Thành Thành Công,2009-12-17T00:00:00
VNH,Công ty Cổ phần Đầu tư Việt Việt Nhật,2010-04-08T00:00:00
VNI,Công ty Cổ phần Đầu tư Bất động sản Việt Nam,2009-09-09T00:00:00
VNL,Công ty Cổ phần Logistics Vinalink,2009-08-17T00:00:00
VNP,Công ty Cổ phần Nhựa Việt Nam,2015-08-18T00:00:00
VNR,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,2006-03-13T00:00:00
VNX,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad,2010-06-10T00:00:00
VNY,Công ty Cổ phần Thuốc thú y Trung ương I,2018-08-03T00:00:00
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,2010-09-08T00:00:00
VPA,Công ty Cổ phần Vận tải Hóa dầu VP,2016-01-27T00:00:00
VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,2018-01-18T00:00:00
VPH,Công ty Cổ phần Vạn Phát Hưng,2009-09-09T00:00:00
VPW,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,2017-11-13T00:00:00
VPX,Công ty Cổ phần Chứng khoán VPBank,2025-12-11T00:00:00
VQC,Công ty Cổ phần Giám định Vinaconmin,2010-02-26T00:00:00
VRE,Công ty Cổ phần Vincom Retail,2017-11-06T00:00:00
VRG,Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao Su Việt Nam,2014-11-10T00:00:00
VSF,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần,2018-04-23T00:00:00
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,2006-07-18T00:00:00
VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,2010-12-24T00:00:00
VST,Công ty Cổ phần Vận tải và Thuê Tàu biển Việt Nam,2009-02-26T00:00:00
VTA,Công ty Cổ phần VITALY,2006-12-29T00:00:00
VTD,Công ty Cổ phần Vietourist Holdings,2019-11-06T00:00:00
VTH,Công ty Cổ phần Dây cáp điện Việt Thái,2014-10-29T00:00:00
VTX,Công ty Cổ phần Vận tải Đa phương thức VIETRANSTIMEX,2014-05-15T00:00:00
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,2022-10-07T00:00:00
VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,2010-06-22T00:00:00
VXP,Công ty Cổ phần Thuốc Thú y Trung ương VETVACO,2019-08-19T00:00:00
X20,Công ty Cổ phần X20,2018-02-05T00:00:00
X26,Công ty Cổ phần 26,2018-07-09T00:00:00
XMC,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,2007-12-20T00:00:00
XPH,Công ty Cổ phần Xà phòng Hà Nội,2014-11-25T00:00:00
YTC,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,2017-08-03T00:00:00
